600082,SSE,海泰发展,沪A
600199,SSE,金种子酒,沪A
601918,SSE,国投新集,沪A
601777,SSE,力帆股份,沪A
600228,SSE,*ST昌九,沪A
600352,SSE,浙江龙盛,沪A
600522,SSE,中天科技,沪A
600482,SSE,风帆股份,沪A
600313,SSE,农发种业,沪A
600077,SSE,宋都股份,沪A
600975,SSE,新五丰,沪A
600346,SSE,大橡塑,沪A
600221,SSE,海南航空,沪A
600802,SSE,福建水泥,沪A
600702,SSE,沱牌舍得,沪A
600690,SSE,青岛海尔,沪A
600558,SSE,大西洋,沪A
601003,SSE,柳钢股份,沪A
600588,SSE,用友软件,沪A
600107,SSE,美尔雅,沪A
600408,SSE,安泰集团,沪A
600358,SSE,国旅联合,沪A
600317,SSE,营口港,沪A
600377,SSE,宁沪高速,沪A
600195,SSE,中牧股份,沪A
600373,SSE,中文传媒,沪A
600243,SSE,青海华鼎,沪A
601028,SSE,玉龙股份,沪A
601016,SSE,节能风电,沪A
600973,SSE,宝胜股份,沪A
600491,SSE,龙元建设,沪A
600789,SSE,鲁抗医药,沪A
600487,SSE,亨通光电,沪A
600135,SSE,乐凯胶片,沪A
601928,SSE,凤凰传媒,沪A
600242,SSE,中昌海运,沪A
600734,SSE,实达集团,沪A
600148,SSE,长春一东,沪A
600007,SSE,中国国贸,沪A
600507,SSE,方大特钢,沪A
600009,SSE,上海机场,沪A
600846,SSE,同济科技,沪A
600200,SSE,江苏吴中,沪A
600703,SSE,三安光电,沪A
600293,SSE,三峡新材,沪A
600122,SSE,宏图高科,沪A
601700,SSE,风范股份,沪A
600784,SSE,鲁银投资,沪A
600732,SSE,上海新梅,沪A
600355,SSE,精伦电子,沪A
600011,SSE,华能国际,沪A
600705,SSE,中航资本,沪A
600095,SSE,哈高科,沪A
600458,SSE,时代新材,沪A
600635,SSE,大众公用,沪A
600066,SSE,宇通客车,沪A
601390,SSE,中国中铁,沪A
600695,SSE,大江股份,沪A
600917,SSE,重庆燃气,沪A
603609,SSE,禾丰牧业,沪A
600855,SSE,航天长峰,沪A
600360,SSE,华微电子,沪A
600038,SSE,中直股份,沪A
600198,SSE,大唐电信,沪A
600634,SSE,中技控股,沪A
600683,SSE,京投银泰,沪A
601002,SSE,晋亿实业,沪A
600615,SSE,丰华股份,沪A
600962,SSE,国投中鲁,沪A
600720,SSE,祁连山,沪A
600130,SSE,波导股份,沪A
600183,SSE,生益科技,沪A
601677,SSE,明泰铝业,沪A
600599,SSE,熊猫烟花,沪A
600794,SSE,保税科技,沪A
600018,SSE,上港集团,沪A
600730,SSE,中国高科,沪A
600398,SSE,海澜之家,沪A
600353,SSE,旭光股份,沪A
600150,SSE,中国船舶,沪A
600119,SSE,长江投资,沪A
603328,SSE,依顿电子,沪A
600800,SSE,天津磁卡,沪A
600686,SSE,金龙汽车,沪A
600078,SSE,澄星股份,沪A
600883,SSE,博闻科技,沪A
600169,SSE,太原重工,沪A
601137,SSE,博威合金,沪A
600757,SSE,长江传媒,沪A
600496,SSE,精工钢构,沪A
601718,SSE,际华集团,沪A
600980,SSE,北矿磁材,沪A
600770,SSE,综艺股份,沪A
600876,SSE,洛阳玻璃,沪A
601999,SSE,出版传媒,沪A
600483,SSE,福能股份,沪A
600094,SSE,大名城,沪A
600776,SSE,东方通信,沪A
601313,SSE,江南嘉捷,沪A
600836,SSE,界龙实业,沪A
600330,SSE,天通股份,沪A
600096,SSE,云天化,沪A
600220,SSE,江苏阳光,沪A
600115,SSE,东方航空,沪A
600559,SSE,老白干酒,沪A
600787,SSE,中储股份,沪A
600645,SSE,中源协和,沪A
600810,SSE,神马股份,沪A
600067,SSE,冠城大通,沪A
600781,SSE,辅仁药业,沪A
600386,SSE,北巴传媒,沪A
600361,SSE,华联综超,沪A
600308,SSE,华泰股份,沪A
600203,SSE,福日电子,沪A
603002,SSE,宏昌电子,沪A
600101,SSE,明星电力,沪A
601628,SSE,中国人寿,沪A
600153,SSE,建发股份,沪A
600010,SSE,包钢股份,沪A
600856,SSE,长百集团,沪A
600548,SSE,深高速,沪A
603167,SSE,渤海轮渡,沪A
601929,SSE,吉视传媒,沪A
600639,SSE,浦东金桥,沪A
600260,SSE,凯乐科技,沪A
600017,SSE,日照港,沪A
601007,SSE,金陵饭店,沪A
600538,SSE,国发股份,沪A
600477,SSE,杭萧钢构,沪A
600392,SSE,盛和资源,沪A
600305,SSE,恒顺醋业,沪A
600223,SSE,鲁商置业,沪A
603077,SSE,和邦股份,沪A
600598,SSE,*ST大荒,沪A
600235,SSE,民丰特纸,沪A
600064,SSE,南京高科,沪A
601579,SSE,会稽山,沪A
601566,SSE,九牧王,沪A
600985,SSE,雷鸣科化,沪A
600449,SSE,宁夏建材,沪A
601908,SSE,京运通,沪A
600897,SSE,厦门空港,沪A
600816,SSE,安信信托,沪A
600189,SSE,吉林森工,沪A
600710,SSE,常林股份,沪A
600567,SSE,山鹰纸业,沪A
600190,SSE,锦州港,沪A
600523,SSE,贵航股份,沪A
600822,SSE,上海物贸,沪A
600108,SSE,亚盛集团,沪A
600803,SSE,新奥股份,沪A
600321,SSE,国栋建设,沪A
600673,SSE,东阳光科,沪A
600551,SSE,时代出版,沪A
600525,SSE,长园集团,沪A
600867,SSE,通化东宝,沪A
600738,SSE,兰州民百,沪A
600727,SSE,鲁北化工,沪A
600682,SSE,南京新百,沪A
600604,SSE,市北高新,沪A
601339,SSE,百隆东方,沪A
600633,SSE,浙报传媒,沪A
600186,SSE,莲花味精,沪A
603018,SSE,设计股份,沪A
600661,SSE,新南洋,沪A
600420,SSE,现代制药,沪A
600396,SSE,金山股份,沪A
600356,SSE,恒丰纸业,沪A
600806,SSE,昆明机床,沪A
